message,severity,attributes,tags,timestamp
	,error,"{""level"":""error""}","{""project"":""e40824fb-b871-4f4a-bbd4-dc97257175b5"",""environment"":""71fe69c0-317e-4401-83e8-167236953714"",""service"":""98ac865d-3446-4204-8b6f-837e63498101"",""deployment"":""dcdde22b-483f-4551-bfa8-a8ad23f2f868"",""replica"":""d74614c5-3877-4710-a4a1-8f41af3269ac""}",2026-07-28T14:54:09.554144722Z
	CREATE TABLE IF NOT EXISTS team_members (,error,"{""level"":""error""}","{""project"":""e40824fb-b871-4f4a-bbd4-dc97257175b5"",""environment"":""71fe69c0-317e-4401-83e8-167236953714"",""service"":""98ac865d-3446-4204-8b6f-837e63498101"",""deployment"":""dcdde22b-483f-4551-bfa8-a8ad23f2f868"",""replica"":""d74614c5-3877-4710-a4a1-8f41af3269ac""}",2026-07-28T14:54:09.554149972Z
"	    team_id    UUID NOT NULL REFERENCES teams(id) ON DELETE CASCADE,",error,"{""level"":""error""}","{""project"":""e40824fb-b871-4f4a-bbd4-dc97257175b5"",""environment"":""71fe69c0-317e-4401-83e8-167236953714"",""service"":""98ac865d-3446-4204-8b6f-837e63498101"",""deployment"":""dcdde22b-483f-4551-bfa8-a8ad23f2f868"",""replica"":""d74614c5-3877-4710-a4a1-8f41af3269ac""}",2026-07-28T14:54:09.554154442Z
"	    user_id    UUID NOT NULL REFERENCES users(id) ON DELETE CASCADE,",error,"{""level"":""error""}","{""project"":""e40824fb-b871-4f4a-bbd4-dc97257175b5"",""environment"":""71fe69c0-317e-4401-83e8-167236953714"",""service"":""98ac865d-3446-4204-8b6f-837e63498101"",""deployment"":""dcdde22b-483f-4551-bfa8-a8ad23f2f868"",""replica"":""d74614c5-3877-4710-a4a1-8f41af3269ac""}",2026-07-28T14:54:09.554160272Z
"	    role_in_team TEXT,",error,"{""level"":""error""}","{""project"":""e40824fb-b871-4f4a-bbd4-dc97257175b5"",""environment"":""71fe69c0-317e-4401-83e8-167236953714"",""service"":""98ac865d-3446-4204-8b6f-837e63498101"",""deployment"":""dcdde22b-483f-4551-bfa8-a8ad23f2f868"",""replica"":""d74614c5-3877-4710-a4a1-8f41af3269ac""}",2026-07-28T14:54:09.554166642Z
"	    joined_at  TIMESTAMPTZ NOT NULL DEFAULT NOW(),",error,"{""level"":""error""}","{""project"":""e40824fb-b871-4f4a-bbd4-dc97257175b5"",""environment"":""71fe69c0-317e-4401-83e8-167236953714"",""service"":""98ac865d-3446-4204-8b6f-837e63498101"",""deployment"":""dcdde22b-483f-4551-bfa8-a8ad23f2f868"",""replica"":""d74614c5-3877-4710-a4a1-8f41af3269ac""}",2026-07-28T14:54:09.554171482Z
"	    PRIMARY KEY (team_id, user_id)",error,"{""level"":""error""}","{""project"":""e40824fb-b871-4f4a-bbd4-dc97257175b5"",""environment"":""71fe69c0-317e-4401-83e8-167236953714"",""service"":""98ac865d-3446-4204-8b6f-837e63498101"",""deployment"":""dcdde22b-483f-4551-bfa8-a8ad23f2f868"",""replica"":""d74614c5-3877-4710-a4a1-8f41af3269ac""}",2026-07-28T14:54:09.554175262Z
	);,error,"{""level"":""error""}","{""project"":""e40824fb-b871-4f4a-bbd4-dc97257175b5"",""environment"":""71fe69c0-317e-4401-83e8-167236953714"",""service"":""98ac865d-3446-4204-8b6f-837e63498101"",""deployment"":""dcdde22b-483f-4551-bfa8-a8ad23f2f868"",""replica"":""d74614c5-3877-4710-a4a1-8f41af3269ac""}",2026-07-28T14:54:09.554179202Z
	,error,"{""level"":""error""}","{""project"":""e40824fb-b871-4f4a-bbd4-dc97257175b5"",""environment"":""71fe69c0-317e-4401-83e8-167236953714"",""service"":""98ac865d-3446-4204-8b6f-837e63498101"",""deployment"":""dcdde22b-483f-4551-bfa8-a8ad23f2f868"",""replica"":""d74614c5-3877-4710-a4a1-8f41af3269ac""}",2026-07-28T14:54:09.554186232Z
	CREATE TRIGGER trg_business_units_updated_at BEFORE UPDATE ON business_units,error,"{""level"":""error""}","{""project"":""e40824fb-b871-4f4a-bbd4-dc97257175b5"",""environment"":""71fe69c0-317e-4401-83e8-167236953714"",""service"":""98ac865d-3446-4204-8b6f-837e63498101"",""deployment"":""dcdde22b-483f-4551-bfa8-a8ad23f2f868"",""replica"":""d74614c5-3877-4710-a4a1-8f41af3269ac""}",2026-07-28T14:54:09.554190542Z
	    FOR EACH ROW EXECUTE FUNCTION public.set_updated_at();,error,"{""level"":""error""}","{""project"":""e40824fb-b871-4f4a-bbd4-dc97257175b5"",""environment"":""71fe69c0-317e-4401-83e8-167236953714"",""service"":""98ac865d-3446-4204-8b6f-837e63498101"",""deployment"":""dcdde22b-483f-4551-bfa8-a8ad23f2f868"",""replica"":""d74614c5-3877-4710-a4a1-8f41af3269ac""}",2026-07-28T14:54:09.554194352Z
	CREATE TRIGGER trg_users_updated_at BEFORE UPDATE ON users,error,"{""level"":""error""}","{""project"":""e40824fb-b871-4f4a-bbd4-dc97257175b5"",""environment"":""71fe69c0-317e-4401-83e8-167236953714"",""service"":""98ac865d-3446-4204-8b6f-837e63498101"",""deployment"":""dcdde22b-483f-4551-bfa8-a8ad23f2f868"",""replica"":""d74614c5-3877-4710-a4a1-8f41af3269ac""}",2026-07-28T14:54:09.554197882Z
	-- =============================================================================,error,"{""level"":""error""}","{""project"":""e40824fb-b871-4f4a-bbd4-dc97257175b5"",""environment"":""71fe69c0-317e-4401-83e8-167236953714"",""service"":""98ac865d-3446-4204-8b6f-837e63498101"",""deployment"":""dcdde22b-483f-4551-bfa8-a8ad23f2f868"",""replica"":""d74614c5-3877-4710-a4a1-8f41af3269ac""}",2026-07-28T14:54:09.554298220Z
	-- PHASE 4: Commercial Hierarchy (migration 0004 adapted),error,"{""level"":""error""}","{""project"":""e40824fb-b871-4f4a-bbd4-dc97257175b5"",""environment"":""71fe69c0-317e-4401-83e8-167236953714"",""service"":""98ac865d-3446-4204-8b6f-837e63498101"",""deployment"":""dcdde22b-483f-4551-bfa8-a8ad23f2f868"",""replica"":""d74614c5-3877-4710-a4a1-8f41af3269ac""}",2026-07-28T14:54:09.554304470Z
	-- =============================================================================,error,"{""level"":""error""}","{""project"":""e40824fb-b871-4f4a-bbd4-dc97257175b5"",""environment"":""71fe69c0-317e-4401-83e8-167236953714"",""service"":""98ac865d-3446-4204-8b6f-837e63498101"",""deployment"":""dcdde22b-483f-4551-bfa8-a8ad23f2f868"",""replica"":""d74614c5-3877-4710-a4a1-8f41af3269ac""}",2026-07-28T14:54:09.554308950Z
"	    id          UUID PRIMARY KEY DEFAULT extensions.uuid_generate_v4(),",error,"{""level"":""error""}","{""project"":""e40824fb-b871-4f4a-bbd4-dc97257175b5"",""environment"":""71fe69c0-317e-4401-83e8-167236953714"",""service"":""98ac865d-3446-4204-8b6f-837e63498101"",""deployment"":""dcdde22b-483f-4551-bfa8-a8ad23f2f868"",""replica"":""d74614c5-3877-4710-a4a1-8f41af3269ac""}",2026-07-28T14:54:09.555316467Z
	,error,"{""level"":""error""}","{""project"":""e40824fb-b871-4f4a-bbd4-dc97257175b5"",""environment"":""71fe69c0-317e-4401-83e8-167236953714"",""service"":""98ac865d-3446-4204-8b6f-837e63498101"",""deployment"":""dcdde22b-483f-4551-bfa8-a8ad23f2f868"",""replica"":""d74614c5-3877-4710-a4a1-8f41af3269ac""}",2026-07-28T14:54:09.555319157Z
"	    client_id   UUID NOT NULL REFERENCES clients(id) ON DELETE RESTRICT,",error,"{""level"":""error""}","{""project"":""e40824fb-b871-4f4a-bbd4-dc97257175b5"",""environment"":""71fe69c0-317e-4401-83e8-167236953714"",""service"":""98ac865d-3446-4204-8b6f-837e63498101"",""deployment"":""dcdde22b-483f-4551-bfa8-a8ad23f2f868"",""replica"":""d74614c5-3877-4710-a4a1-8f41af3269ac""}",2026-07-28T14:54:09.555325847Z
	CREATE TABLE IF NOT EXISTS clients (,error,"{""level"":""error""}","{""project"":""e40824fb-b871-4f4a-bbd4-dc97257175b5"",""environment"":""71fe69c0-317e-4401-83e8-167236953714"",""service"":""98ac865d-3446-4204-8b6f-837e63498101"",""deployment"":""dcdde22b-483f-4551-bfa8-a8ad23f2f868"",""replica"":""d74614c5-3877-4710-a4a1-8f41af3269ac""}",2026-07-28T14:54:09.555328487Z
"	    metadata        JSONB NOT NULL DEFAULT '{}'::jsonb,",error,"{""level"":""error""}","{""project"":""e40824fb-b871-4f4a-bbd4-dc97257175b5"",""environment"":""71fe69c0-317e-4401-83e8-167236953714"",""service"":""98ac865d-3446-4204-8b6f-837e63498101"",""deployment"":""dcdde22b-483f-4551-bfa8-a8ad23f2f868"",""replica"":""d74614c5-3877-4710-a4a1-8f41af3269ac""}",2026-07-28T14:54:09.555331457Z
"	    code        TEXT NOT NULL,",error,"{""level"":""error""}","{""project"":""e40824fb-b871-4f4a-bbd4-dc97257175b5"",""environment"":""71fe69c0-317e-4401-83e8-167236953714"",""service"":""98ac865d-3446-4204-8b6f-837e63498101"",""deployment"":""dcdde22b-483f-4551-bfa8-a8ad23f2f868"",""replica"":""d74614c5-3877-4710-a4a1-8f41af3269ac""}",2026-07-28T14:54:09.555333317Z
"	    id              UUID PRIMARY KEY DEFAULT extensions.uuid_generate_v4(),",error,"{""level"":""error""}","{""project"":""e40824fb-b871-4f4a-bbd4-dc97257175b5"",""environment"":""71fe69c0-317e-4401-83e8-167236953714"",""service"":""98ac865d-3446-4204-8b6f-837e63498101"",""deployment"":""dcdde22b-483f-4551-bfa8-a8ad23f2f868"",""replica"":""d74614c5-3877-4710-a4a1-8f41af3269ac""}",2026-07-28T14:54:09.555336227Z
"	    created_by      UUID REFERENCES users(id) ON DELETE SET NULL,",error,"{""level"":""error""}","{""project"":""e40824fb-b871-4f4a-bbd4-dc97257175b5"",""environment"":""71fe69c0-317e-4401-83e8-167236953714"",""service"":""98ac865d-3446-4204-8b6f-837e63498101"",""deployment"":""dcdde22b-483f-4551-bfa8-a8ad23f2f868"",""replica"":""d74614c5-3877-4710-a4a1-8f41af3269ac""}",2026-07-28T14:54:09.555339807Z
"	    code            TEXT NOT NULL UNIQUE,",error,"{""level"":""error""}","{""project"":""e40824fb-b871-4f4a-bbd4-dc97257175b5"",""environment"":""71fe69c0-317e-4401-83e8-167236953714"",""service"":""98ac865d-3446-4204-8b6f-837e63498101"",""deployment"":""dcdde22b-483f-4551-bfa8-a8ad23f2f868"",""replica"":""d74614c5-3877-4710-a4a1-8f41af3269ac""}",2026-07-28T14:54:09.555343447Z
"	    created_at      TIMESTAMPTZ NOT NULL DEFAULT NOW(),",error,"{""level"":""error""}","{""project"":""e40824fb-b871-4f4a-bbd4-dc97257175b5"",""environment"":""71fe69c0-317e-4401-83e8-167236953714"",""service"":""98ac865d-3446-4204-8b6f-837e63498101"",""deployment"":""dcdde22b-483f-4551-bfa8-a8ad23f2f868"",""replica"":""d74614c5-3877-4710-a4a1-8f41af3269ac""}",2026-07-28T14:54:09.555349337Z
"	    name            TEXT NOT NULL,",error,"{""level"":""error""}","{""project"":""e40824fb-b871-4f4a-bbd4-dc97257175b5"",""environment"":""71fe69c0-317e-4401-83e8-167236953714"",""service"":""98ac865d-3446-4204-8b6f-837e63498101"",""deployment"":""dcdde22b-483f-4551-bfa8-a8ad23f2f868"",""replica"":""d74614c5-3877-4710-a4a1-8f41af3269ac""}",2026-07-28T14:54:09.555349847Z
"	    legal_name      TEXT,",error,"{""level"":""error""}","{""project"":""e40824fb-b871-4f4a-bbd4-dc97257175b5"",""environment"":""71fe69c0-317e-4401-83e8-167236953714"",""service"":""98ac865d-3446-4204-8b6f-837e63498101"",""deployment"":""dcdde22b-483f-4551-bfa8-a8ad23f2f868"",""replica"":""d74614c5-3877-4710-a4a1-8f41af3269ac""}",2026-07-28T14:54:09.555358047Z
"	    updated_at      TIMESTAMPTZ NOT NULL DEFAULT NOW(),",error,"{""level"":""error""}","{""project"":""e40824fb-b871-4f4a-bbd4-dc97257175b5"",""environment"":""71fe69c0-317e-4401-83e8-167236953714"",""service"":""98ac865d-3446-4204-8b6f-837e63498101"",""deployment"":""dcdde22b-483f-4551-bfa8-a8ad23f2f868"",""replica"":""d74614c5-3877-4710-a4a1-8f41af3269ac""}",2026-07-28T14:54:09.555359487Z
"	    tax_id          TEXT,",error,"{""level"":""error""}","{""project"":""e40824fb-b871-4f4a-bbd4-dc97257175b5"",""environment"":""71fe69c0-317e-4401-83e8-167236953714"",""service"":""98ac865d-3446-4204-8b6f-837e63498101"",""deployment"":""dcdde22b-483f-4551-bfa8-a8ad23f2f868"",""replica"":""d74614c5-3877-4710-a4a1-8f41af3269ac""}",2026-07-28T14:54:09.555363957Z
	    deleted_at      TIMESTAMPTZ,error,"{""level"":""error""}","{""project"":""e40824fb-b871-4f4a-bbd4-dc97257175b5"",""environment"":""71fe69c0-317e-4401-83e8-167236953714"",""service"":""98ac865d-3446-4204-8b6f-837e63498101"",""deployment"":""dcdde22b-483f-4551-bfa8-a8ad23f2f868"",""replica"":""d74614c5-3877-4710-a4a1-8f41af3269ac""}",2026-07-28T14:54:09.555368567Z
"	    industry        TEXT,",error,"{""level"":""error""}","{""project"":""e40824fb-b871-4f4a-bbd4-dc97257175b5"",""environment"":""71fe69c0-317e-4401-83e8-167236953714"",""service"":""98ac865d-3446-4204-8b6f-837e63498101"",""deployment"":""dcdde22b-483f-4551-bfa8-a8ad23f2f868"",""replica"":""d74614c5-3877-4710-a4a1-8f41af3269ac""}",2026-07-28T14:54:09.555370437Z
	);,error,"{""level"":""error""}","{""project"":""e40824fb-b871-4f4a-bbd4-dc97257175b5"",""environment"":""71fe69c0-317e-4401-83e8-167236953714"",""service"":""98ac865d-3446-4204-8b6f-837e63498101"",""deployment"":""dcdde22b-483f-4551-bfa8-a8ad23f2f868"",""replica"":""d74614c5-3877-4710-a4a1-8f41af3269ac""}",2026-07-28T14:54:09.555378147Z
"	    website         TEXT,",error,"{""level"":""error""}","{""project"":""e40824fb-b871-4f4a-bbd4-dc97257175b5"",""environment"":""71fe69c0-317e-4401-83e8-167236953714"",""service"":""98ac865d-3446-4204-8b6f-837e63498101"",""deployment"":""dcdde22b-483f-4551-bfa8-a8ad23f2f868"",""replica"":""d74614c5-3877-4710-a4a1-8f41af3269ac""}",2026-07-28T14:54:09.555378357Z
"	    logo_url        TEXT,",error,"{""level"":""error""}","{""project"":""e40824fb-b871-4f4a-bbd4-dc97257175b5"",""environment"":""71fe69c0-317e-4401-83e8-167236953714"",""service"":""98ac865d-3446-4204-8b6f-837e63498101"",""deployment"":""dcdde22b-483f-4551-bfa8-a8ad23f2f868"",""replica"":""d74614c5-3877-4710-a4a1-8f41af3269ac""}",2026-07-28T14:54:09.555384777Z
	CREATE INDEX IF NOT EXISTS idx_clients_active ON clients(is_active) WHERE deleted_at IS NULL;,error,"{""level"":""error""}","{""project"":""e40824fb-b871-4f4a-bbd4-dc97257175b5"",""environment"":""71fe69c0-317e-4401-83e8-167236953714"",""service"":""98ac865d-3446-4204-8b6f-837e63498101"",""deployment"":""dcdde22b-483f-4551-bfa8-a8ad23f2f868"",""replica"":""d74614c5-3877-4710-a4a1-8f41af3269ac""}",2026-07-28T14:54:09.555389886Z
"	    notes           TEXT,",error,"{""level"":""error""}","{""project"":""e40824fb-b871-4f4a-bbd4-dc97257175b5"",""environment"":""71fe69c0-317e-4401-83e8-167236953714"",""service"":""98ac865d-3446-4204-8b6f-837e63498101"",""deployment"":""dcdde22b-483f-4551-bfa8-a8ad23f2f868"",""replica"":""d74614c5-3877-4710-a4a1-8f41af3269ac""}",2026-07-28T14:54:09.555391876Z
"	    is_active       BOOLEAN NOT NULL DEFAULT TRUE,",error,"{""level"":""error""}","{""project"":""e40824fb-b871-4f4a-bbd4-dc97257175b5"",""environment"":""71fe69c0-317e-4401-83e8-167236953714"",""service"":""98ac865d-3446-4204-8b6f-837e63498101"",""deployment"":""dcdde22b-483f-4551-bfa8-a8ad23f2f868"",""replica"":""d74614c5-3877-4710-a4a1-8f41af3269ac""}",2026-07-28T14:54:09.555399416Z
	,error,"{""level"":""error""}","{""project"":""e40824fb-b871-4f4a-bbd4-dc97257175b5"",""environment"":""71fe69c0-317e-4401-83e8-167236953714"",""service"":""98ac865d-3446-4204-8b6f-837e63498101"",""deployment"":""dcdde22b-483f-4551-bfa8-a8ad23f2f868"",""replica"":""d74614c5-3877-4710-a4a1-8f41af3269ac""}",2026-07-28T14:54:09.555400226Z
	CREATE TABLE IF NOT EXISTS brands (,error,"{""level"":""error""}","{""project"":""e40824fb-b871-4f4a-bbd4-dc97257175b5"",""environment"":""71fe69c0-317e-4401-83e8-167236953714"",""service"":""98ac865d-3446-4204-8b6f-837e63498101"",""deployment"":""dcdde22b-483f-4551-bfa8-a8ad23f2f868"",""replica"":""d74614c5-3877-4710-a4a1-8f41af3269ac""}",2026-07-28T14:54:09.555404836Z
"	    name        TEXT NOT NULL,",error,"{""level"":""error""}","{""project"":""e40824fb-b871-4f4a-bbd4-dc97257175b5"",""environment"":""71fe69c0-317e-4401-83e8-167236953714"",""service"":""98ac865d-3446-4204-8b6f-837e63498101"",""deployment"":""dcdde22b-483f-4551-bfa8-a8ad23f2f868"",""replica"":""d74614c5-3877-4710-a4a1-8f41af3269ac""}",2026-07-28T14:54:09.560169696Z
"	    category    TEXT,",error,"{""level"":""error""}","{""project"":""e40824fb-b871-4f4a-bbd4-dc97257175b5"",""environment"":""71fe69c0-317e-4401-83e8-167236953714"",""service"":""98ac865d-3446-4204-8b6f-837e63498101"",""deployment"":""dcdde22b-483f-4551-bfa8-a8ad23f2f868"",""replica"":""d74614c5-3877-4710-a4a1-8f41af3269ac""}",2026-07-28T14:54:09.560177485Z
"	    logo_url    TEXT,",error,"{""level"":""error""}","{""project"":""e40824fb-b871-4f4a-bbd4-dc97257175b5"",""environment"":""71fe69c0-317e-4401-83e8-167236953714"",""service"":""98ac865d-3446-4204-8b6f-837e63498101"",""deployment"":""dcdde22b-483f-4551-bfa8-a8ad23f2f868"",""replica"":""d74614c5-3877-4710-a4a1-8f41af3269ac""}",2026-07-28T14:54:09.560182225Z
"	    is_active   BOOLEAN NOT NULL DEFAULT TRUE,",error,"{""level"":""error""}","{""project"":""e40824fb-b871-4f4a-bbd4-dc97257175b5"",""environment"":""71fe69c0-317e-4401-83e8-167236953714"",""service"":""98ac865d-3446-4204-8b6f-837e63498101"",""deployment"":""dcdde22b-483f-4551-bfa8-a8ad23f2f868"",""replica"":""d74614c5-3877-4710-a4a1-8f41af3269ac""}",2026-07-28T14:54:09.560190545Z
"	    updated_at  TIMESTAMPTZ NOT NULL DEFAULT NOW(),",error,"{""level"":""error""}","{""project"":""e40824fb-b871-4f4a-bbd4-dc97257175b5"",""environment"":""71fe69c0-317e-4401-83e8-167236953714"",""service"":""98ac865d-3446-4204-8b6f-837e63498101"",""deployment"":""dcdde22b-483f-4551-bfa8-a8ad23f2f868"",""replica"":""d74614c5-3877-4710-a4a1-8f41af3269ac""}",2026-07-28T14:54:09.560192305Z
	CREATE TABLE IF NOT EXISTS brand_contacts (,error,"{""level"":""error""}","{""project"":""e40824fb-b871-4f4a-bbd4-dc97257175b5"",""environment"":""71fe69c0-317e-4401-83e8-167236953714"",""service"":""98ac865d-3446-4204-8b6f-837e63498101"",""deployment"":""dcdde22b-483f-4551-bfa8-a8ad23f2f868"",""replica"":""d74614c5-3877-4710-a4a1-8f41af3269ac""}",2026-07-28T14:54:09.560197145Z
"	    metadata    JSONB NOT NULL DEFAULT '{}'::jsonb,",error,"{""level"":""error""}","{""project"":""e40824fb-b871-4f4a-bbd4-dc97257175b5"",""environment"":""71fe69c0-317e-4401-83e8-167236953714"",""service"":""98ac865d-3446-4204-8b6f-837e63498101"",""deployment"":""dcdde22b-483f-4551-bfa8-a8ad23f2f868"",""replica"":""d74614c5-3877-4710-a4a1-8f41af3269ac""}",2026-07-28T14:54:09.560199495Z
"	    deleted_at  TIMESTAMPTZ,",error,"{""level"":""error""}","{""project"":""e40824fb-b871-4f4a-bbd4-dc97257175b5"",""environment"":""71fe69c0-317e-4401-83e8-167236953714"",""service"":""98ac865d-3446-4204-8b6f-837e63498101"",""deployment"":""dcdde22b-483f-4551-bfa8-a8ad23f2f868"",""replica"":""d74614c5-3877-4710-a4a1-8f41af3269ac""}",2026-07-28T14:54:09.560206565Z
"	    id          UUID PRIMARY KEY DEFAULT extensions.uuid_generate_v4(),",error,"{""level"":""error""}","{""project"":""e40824fb-b871-4f4a-bbd4-dc97257175b5"",""environment"":""71fe69c0-317e-4401-83e8-167236953714"",""service"":""98ac865d-3446-4204-8b6f-837e63498101"",""deployment"":""dcdde22b-483f-4551-bfa8-a8ad23f2f868"",""replica"":""d74614c5-3877-4710-a4a1-8f41af3269ac""}",2026-07-28T14:54:09.560208415Z
"	    created_at  TIMESTAMPTZ NOT NULL DEFAULT NOW(),",error,"{""level"":""error""}","{""project"":""e40824fb-b871-4f4a-bbd4-dc97257175b5"",""environment"":""71fe69c0-317e-4401-83e8-167236953714"",""service"":""98ac865d-3446-4204-8b6f-837e63498101"",""deployment"":""dcdde22b-483f-4551-bfa8-a8ad23f2f868"",""replica"":""d74614c5-3877-4710-a4a1-8f41af3269ac""}",2026-07-28T14:54:09.560210485Z
	);,error,"{""level"":""error""}","{""project"":""e40824fb-b871-4f4a-bbd4-dc97257175b5"",""environment"":""71fe69c0-317e-4401-83e8-167236953714"",""service"":""98ac865d-3446-4204-8b6f-837e63498101"",""deployment"":""dcdde22b-483f-4551-bfa8-a8ad23f2f868"",""replica"":""d74614c5-3877-4710-a4a1-8f41af3269ac""}",2026-07-28T14:54:09.560214755Z
	CREATE INDEX IF NOT EXISTS idx_brands_client ON brands(client_id);,error,"{""level"":""error""}","{""project"":""e40824fb-b871-4f4a-bbd4-dc97257175b5"",""environment"":""71fe69c0-317e-4401-83e8-167236953714"",""service"":""98ac865d-3446-4204-8b6f-837e63498101"",""deployment"":""dcdde22b-483f-4551-bfa8-a8ad23f2f868"",""replica"":""d74614c5-3877-4710-a4a1-8f41af3269ac""}",2026-07-28T14:54:09.560224195Z
	    updated_at  TIMESTAMPTZ NOT NULL DEFAULT NOW(),error,"{""level"":""error""}","{""project"":""e40824fb-b871-4f4a-bbd4-dc97257175b5"",""environment"":""71fe69c0-317e-4401-83e8-167236953714"",""service"":""98ac865d-3446-4204-8b6f-837e63498101"",""deployment"":""dcdde22b-483f-4551-bfa8-a8ad23f2f868"",""replica"":""d74614c5-3877-4710-a4a1-8f41af3269ac""}",2026-07-28T14:54:09.560224275Z
"	    id              UUID PRIMARY KEY DEFAULT extensions.uuid_generate_v4(),",error,"{""level"":""error""}","{""project"":""e40824fb-b871-4f4a-bbd4-dc97257175b5"",""environment"":""71fe69c0-317e-4401-83e8-167236953714"",""service"":""98ac865d-3446-4204-8b6f-837e63498101"",""deployment"":""dcdde22b-483f-4551-bfa8-a8ad23f2f868"",""replica"":""d74614c5-3877-4710-a4a1-8f41af3269ac""}",2026-07-28T14:54:09.560224335Z
"	    UNIQUE (client_id, code)",error,"{""level"":""error""}","{""project"":""e40824fb-b871-4f4a-bbd4-dc97257175b5"",""environment"":""71fe69c0-317e-4401-83e8-167236953714"",""service"":""98ac865d-3446-4204-8b6f-837e63498101"",""deployment"":""dcdde22b-483f-4551-bfa8-a8ad23f2f868"",""replica"":""d74614c5-3877-4710-a4a1-8f41af3269ac""}",2026-07-28T14:54:09.560224375Z
